Episode_number,yaw,pitch,roll,max_x,max_y,height,max_time,total_reward,steps,explore,exploit
0,0,0,0,0,0,0,0,0,0,0,0
1,1.8212394164062484,0.16069065295191062,1.570796326794896,1.9337670803070068,-0.03440201282501221,6.799999999999997,0.21405696868896484,-2.5670785075587705,178,159,19
2,1.2277723863741932,0.9972832223718004,0.9109479005059742,2.5791244506835938,1.6605266332626343,6.499999999999997,0.20934486389160156,6.450903610670845,200,181,19
3,2.7849725176383613,0,2.5244012620494307,2.3526610136032104,-1.5320814847946167,6.499999999999997,0.21905207633972168,-163.49309255251842,187,174,13
4,3.141592653589793,0,2.6607053733944572,1.7988580465316772,-1.4296594858169556,6.799999999999997,0.2200460433959961,-40.15619585944179,127,118,9
5,3.141592653589793,0.3469168975271618,3.141592653589793,2.6739357709884644,1.3261741995811462,6.799999999999997,0.2183690071105957,-106.23264986485552,188,172,16
6,1.9903267070028725,0,1.8278889347675575,-4.388964414596558,1.1914188861846924,6.1999999999999975,0.2195570468902588,-261.33900089542055,195,175,20
7,2.718738727456852,0.020001333573390494,1.7026034423556293,1.666261225938797,1.4625279903411865,6.799999999999997,0.23018789291381836,-247.62425134360433,290,246,44
8,2.782821983319222,0.04001067435398896,2.6422459319096627,0.7632490396499634,-1.9012786149978638,6.1999999999999975,0.22127604484558105,79.00130753514263,146,133,13
9,1.1167178037017014,0.6687427032023718,1.0697829399913075,1.4706397950649261,-1.6084660813212395,6.1999999999999975,0.2346038818359375,42.2792551426828,151,136,15
10,1.1071487177940906,0.6435011087932848,0.5404195002705845,-0.760581374168396,2.329794079065323,6.499999999999997,0.21844196319580078,-159.78391705206727,150,140,10
11,1.4073198886242027,1.5707963267948966,1.1383885512243588,1.1708344221115112,2.283471465110779,6.499999999999997,0.20869994163513184,-395.917948127388,214,183,31
12,1.6533152812278782,0.060036058445278435,1.8788491078186729,-2.0287166833877563,-2.198755979537964,6.1999999999999975,0.2256910800933838,-226.02318077459552,163,150,13
13,0.9213955814348325,1.5707963267948966,1.7359450042095228,2.227863073348999,0.43444371223449707,7.099999999999997,0.22117400169372559,-158.12834846376475,169,154,15
14,0.809783572570167,1.5707963267948966,0.1194289260183387,0.5645920932292938,1.2037441730499268,6.499999999999997,0.2106339931488037,291.0025512552936,140,128,12
15,1.7551207356945955,0.08008558003365902,1.5707963267948966,2.741895914077759,2.870306968688965,6.1999999999999975,0.22636699676513672,-154.2805695524962,114,108,6
16,2.2048190464583186,1.5707963267948966,2.3801133726902552,3.2353060245513916,-1.08902108669281,6.499999999999997,0.21084094047546387,-173.0265242779568,215,197,18
17,2.0988707752212563,0.5943858000010622,1.0409472573388299,-0.8657021522521973,-0.6774745583534241,7.099999999999997,0.20384001731872559,-51.60103760815912,227,200,27
18,1.4352686128093959,0,0.8519663271732723,2.6176536083221436,2.1336355209350586,6.1999999999999975,0.22164106369018555,32.086430365639835,172,162,10
19,1.1689256793544403,0.523598775598299,0.865684978680465,-1.4527024030685425,2.6696174144744873,7.099999999999997,0.21110320091247559,-327.493619094173,228,212,16
20,3.098141758198263,1.5707963267948966,2.8198420991931505,-0.8803271055221558,1.7685845792293549,6.1999999999999975,0.2160041332244873,261.72958508491,206,189,17
21,0,0,0,0,0,0,0,1.5,0,1,0
22,1.3540710130701565,1.119769514998635,1.857735079725666,1.3930824771523476,-3.1005353927612305,6.799999999999997,0.2290949821472168,-555.8446076261907,180,161,19
23,0.8318762947484514,0.3046926540153974,2.2142974355881786,-1.1321270763874054,2.988747239112854,7.099999999999997,0.21516108512878418,-129.76691493411133,141,127,14
24,0,0,0,0,0,0,0,0,0,0,0
25,0.809783572570167,1.222630305521937,1.508455196501572e-16,1.8089778423309326,0.7174069434404373,6.799999999999997,0.2352299690246582,77.16870768667104,141,127,14
26,1.1304003406045537,1.5707963267948966,1.0191413442663502,2.2443405985832214,-1.0769497156143188,6.499999999999997,0.22705698013305664,-74.44115520942283,200,184,16
27,1.1606689862534059,1.5707963267948966,2.2142974355881786,2.2050095796585083,-0.16087815165519714,6.499999999999997,0.23182296752929688,-115.63033526765702,184,165,19
28,0,0,0,0,0,0,0,1.0,0,1,0
29,1.6614562139956417,1.5707963267948966,1.3930514163918752,-1.1868338584899902,-0.5575996041297913,6.799999999999997,0.23103594779968262,-328.67133138913994,206,187,19
30,1.9890206563741257,0.7208187608700897,0.9938633817774359,-1.0976742506027222,-1.1124351024627686,6.1999999999999975,0.2242579460144043,-51.64236422419126,146,134,12
31,3.07502448981397,0.04001067435398893,3.07502448981397,-3.001570224761963,-0.2612648904323578,6.499999999999997,0.22336101531982422,10.592015369929577,155,137,18
32,1.5707963267948966,0,1.3514120734606936,3.8194220066070557,1.553098201751709,6.499999999999997,0.21253514289855957,-176.41838171045438,185,160,25
33,1.3171222306562538,1.5707963267948966,2.792821650005886,-0.9551655054092407,2.102290630340576,6.799999999999997,0.24034786224365234,-206.56994559428654,224,197,27
34,1.215160442494137,1.5707963267948966,1.2924966677897853,1.3599074482917786,-3.52394962310791,6.499999999999997,0.23507308959960938,-111.0100417222487,209,189,20
35,0,0,0,0,0,0,0,0,0,0,0
36,2.2655346029915995,0,1.8925468811915387,2.077026605606079,-2.675365686416626,7.099999999999997,0.2287888526916504,-157.78260573285223,151,135,16
37,1.841121673173563,0.06003605844527845,2.0558310486474323,0.6300275921821594,-0.48240214586257935,6.799999999999997,0.22893118858337402,200.96834591344768,129,120,9
38,1.0007558630951865,0,1.8157749899217601,-0.9974373579025269,0.5412541329860687,6.1999999999999975,0.2339332103729248,184.60077772783004,132,119,13
39,1.4243121484013355,0.12028988239478809,1.5953815361647565,2.0297751128673553,2.557721734046936,6.799999999999997,0.21118903160095215,-297.2073590992412,208,185,23
40,1.6504148960197975,0.08008558003365902,1.4587673643689087,-2.009469747543335,-2.157455325126648,6.499999999999997,0.24019813537597656,-232.99521649838027,163,147,16
41,0,0,0,0,0,0,0,0,0,0,0
