Episode_number,max_x_ori,max_y_ori,max_z_ori,max_w_ori,max_x,max_y,height,max_time,total_reward,steps,explore,exploit
0,0.3,-2.7755575615628914e-17,0.19999999999999998,-3.0000000000000013,0.9244240283966064,-0.5277501344680786,6.1999999999999975,0.19989395141601562,67.40000000000009,241,224,17
1,0.30000000000000004,-2.7755575615628914e-17,0.6,-2.0000000000000004,-0.225547856092453,0.6081034302711487,6.1999999999999975,0.2138991355895996,96.20000000000002,129,118,11
2,0.4,0.7999999999999999,0.5,-1.9000000000000006,-0.775339674949646,0.748353099822998,6.499999999999997,0.20592308044433594,37.82621846142161,163,146,17
3,-0.20000000000000004,0.4,0.4,-2.0000000000000004,0.4558459877967834,0.2128588542342186,6.499999999999997,0.20638799667358398,145.85000000000005,158,146,12
4,0.1,0.0,0.4,-1.5000000000000002,0.30066577196121214,-0.4279419183731079,6.499999999999997,0.19188284873962402,463.44999999999993,91,87,4
5,0.5,0.7999999999999999,-0.7,-1.9000000000000006,0.6395547270774841,-0.5883887052536011,6.499999999999997,0.21244096755981445,98.19999999999999,166,153,13
6,0.30000000000000004,0.5,-0.20000000000000004,-2.3000000000000007,1.112415385246277,-1.0528033018112182,6.499999999999997,0.18975305557250977,-116.1982344489252,181,164,17
7,-0.4,0.4,-0.5,-2.0000000000000004,-0.08593321740627288,0.42682180404663084,6.799999999999997,0.20601296424865723,363.99999999999994,146,133,13
8,0.5,0.3,-0.10000000000000003,-1.2,0.024139218032360077,-0.11616953611373901,6.499999999999997,0.20816397666931152,800.3500000000001,120,110,10
9,0.5,0.8999999999999999,-0.4,-2.2000000000000006,-0.4240507483482361,0.8739268541336059,6.799999999999997,0.1423201560974121,27.849999999999994,211,189,22
10,0.5,0.5,0.4,-3.0000000000000013,0.2403966248035431,0.3645981550216675,6.499999999999997,0.1961832046508789,368.4500000000001,189,178,11
11,-0.20000000000000004,-0.30000000000000004,-0.4,-1.6000000000000003,-0.34781543016433714,-0.7778386473655701,6.1999999999999975,0.19177699089050293,52.099999999999994,141,126,15
12,-0.4,0.5,1.2,-1.7000000000000004,0.6362787842750549,0.4286295354366303,6.1999999999999975,0.1964280605316162,84.90000000000003,130,121,9
13,0.4,0.30000000000000004,-0.30000000000000004,-2.500000000000001,0.855976140499115,0.2964777693152428,6.1999999999999975,0.20826077461242676,257.25,172,157,15
14,-2.7755575615628914e-17,-0.20000000000000004,-0.5,-2.500000000000001,0.6871610641479492,0.4626023054122924,6.799999999999997,0.1922450065612793,142.5,174,159,15
15,0.5,0.2,-0.30000000000000004,-2.600000000000001,0.27623402774333955,0.36099708676338194,6.1999999999999975,0.21155500411987305,478.95000000000005,177,161,16
16,1.0999999999999999,0.1,0.4,-2.0000000000000004,0.45044673085212705,0.18912503570318223,6.1999999999999975,0.2069990634918213,480.30000000000007,165,146,19
17,-0.5,-0.10000000000000003,-0.10000000000000003,-2.1000000000000005,0.4846587836742401,-1.1991013526916505,6.799999999999997,0.22188496589660645,15.109680741196422,155,140,15
18,0.5,0.30000000000000004,0.7999999999999999,-1.2,-1.1785024404525757,0.5629061579704284,6.499999999999997,0.19802093505859375,6.746049238693544,120,113,7
19,0.09999999999999998,0.9999999999999999,0.19999999999999998,-2.800000000000001,-0.8444869875907898,-0.23496006429195404,6.499999999999997,0.19717121124267578,51.90000000000008,192,173,19
20,0.30000000000000004,0.4,0.4,-1.9000000000000006,0.3835128307342529,-0.5338140726089478,6.799999999999997,0.20473098754882812,159.14999999999995,179,163,16
21,-0.8999999999999999,0.4,0.19999999999999998,-1.0999999999999999,0.024657157063484203,0.47852088212966915,6.499999999999997,0.21310114860534668,143.54999999999998,123,111,12
22,-0.6,-0.8999999999999999,0.8999999999999999,-2.400000000000001,-0.5364550352096558,0.4851049482822418,6.499999999999997,0.21806001663208008,26.999999999999986,156,142,14
23,0.8999999999999999,0.3,0.7999999999999999,-1.7000000000000004,0.3080762982368469,0.368656313419342,6.499999999999997,0.2088909149169922,143.0,143,129,14
24,-0.7,0.5,-0.20000000000000004,-1.9000000000000006,-0.1392156183719635,-0.2735675185918808,6.499999999999997,0.21047711372375488,140.2,165,149,16
25,0.7999999999999999,-0.30000000000000004,0.7,-2.2000000000000006,0.1531002551317215,1.0833353757858277,6.499999999999997,0.16783595085144043,24.8317816726937,188,170,18
26,0.09999999999999998,0.1,0.19999999999999998,-1.5000000000000002,0.8218342006206512,-0.11459754407405853,6.499999999999997,0.13544988632202148,35.05000000000002,107,102,5
27,0.4,0.4,0.7,-1.7000000000000004,0.3369937047362328,0.654452633857727,6.1999999999999975,0.20934200286865234,74.60000000000001,144,130,14
28,0.7,-0.10000000000000003,-0.7,-2.1000000000000005,-0.1250547170639038,-0.28874590396881106,6.499999999999997,0.1719970703125,473.65000000000003,150,137,13
29,-0.5,0.6,-2.7755575615628914e-17,-1.9000000000000006,0.39138531237840657,0.557680070400238,6.1999999999999975,0.20140409469604492,194.65000000000003,171,158,13
30,0.4,0.4,0.5,-1.7000000000000004,0.4452088296413421,-0.5350694119930267,6.1999999999999975,0.2190260887145996,91.20000000000007,165,147,18
31,-0.30000000000000004,-0.20000000000000004,0.4,-2.1000000000000005,0.47942556142807,0.16403877586126328,6.499999999999997,0.2062239646911621,253.4,147,135,12
32,-1.5000000000000002,-0.8999999999999999,0.4,-2.1000000000000005,0.4827407956123352,0.31044737100601194,6.499999999999997,0.19364309310913086,815.8000000000003,188,168,20
33,0.1,0.3,-0.5,-2.600000000000001,0.21534415185451508,-0.15112930536270142,6.499999999999997,0.19208407402038574,146.95000000000002,140,123,17
34,0.5,0.7999999999999999,-0.30000000000000004,-1.9000000000000006,0.7043215811252593,-0.5508962273597717,7.099999999999997,0.1674637794494629,46.35000000000002,145,129,16
35,-0.5,0.4,0.4,-1.4000000000000001,-0.19971352815628052,0.37056702971458433,6.499999999999997,0.21105289459228516,470.8,121,110,11
