Episode_number,yaw,pitch,roll,max_x,max_y,height,max_time,total_reward,steps,explore,exploit
0,0,0,0,0,0,0,0,0,0,0,0
1,3.0600509919972976,0.2218144704967943,1.5769165581421578,3.7759695053100586,4.732324600219727,3.799999999999999,0,16.4,1000,353,647
2,2.286245105151563,1.5707963267948966,1.4533616369983757,0.9677435159683228,1.5479270815849304,6.1999999999999975,0.20180892944335938,429.8,144,118,26
3,1.8925468811915391,0.411516846067488,2.642245931909663,3.5073294639587402,2.544174313545227,7.699999999999997,0.2013990879058838,17.4,126,107,19
4,0,0,0,0,0,0,0,0,0,0,0
5,0.43240777557053783,0.80380231893303,0.4048917862850834,1.2325111031532288,1.6864336729049683,6.799999999999997,0.20672297477722168,13.1,92,76,16
6,0.41822432957922906,0.38979629647426056,1.975688113079979,1.7193514108657837,0.7289864718914032,6.799999999999997,0.19524598121643066,13.9,91,80,11
7,0.9994588469612699,1.5707963267948966,0.2606023917473413,2.590156316757202,1.9911013841629028,6.799999999999997,0.22104811668395996,26.799999999999997,117,95,22
8,0.7431697612844465,0.6687427032023718,1.0175020014726042,1.6086920499801636,2.126099944114685,6.799999999999997,0.20261001586914062,11.5,87,72,15
9,0.992894389832651,0.5468509506959441,0.5493744847715509,1.217132568359375,1.2007148265838623,7.099999999999997,0.2086789608001709,16.9,87,71,16
10,0.8003224283875334,0.080085580033659,0.5239193476851991,1.0358910150825977,1.7405964136123657,7.099999999999997,0.2115480899810791,19.9,85,68,17
11,0.5807563535676704,0.500654712404588,0.3617292415199322,1.7137263417243958,2.1937958002090454,7.699999999999997,0.218519926071167,30.699999999999992,88,70,18
12,0.6304014214735074,0.4779951985189524,0.6304014214735074,1.5183510780334473,1.5732227563858032,6.499999999999997,0.14985895156860352,18.200000000000003,80,61,19
13,0.24497866312686414,0.2630222029084689,0.04441521524691085,0.5,1.0072010825388134,6.799999999999997,0.18346309661865234,22.9,67,54,13
14,0.5937496667107712,0.22181447049679434,0.4324077755705379,1.478263795375824,1.217224270105362,6.799999999999997,0.19596481323242188,12.9,88,69,19
15,0.23374318086890147,0.06003605844527845,0.26396372362570464,1.0147624164819717,0.6494193822145462,7.099999999999997,0.14071011543273926,25.89999999999999,99,81,18
16,0,0,0,0,0,0,0,0,0,0,0
17,0.5295895987820765,0.3046926540153976,2.8198420991931523,1.020304074510932,1.365332007408142,6.799999999999997,0.21550989151000977,26.299999999999994,80,66,14
18,0.3392926144540448,0.060036058445278435,0.081452044305871,2.2096009850502014,1.4474275410175323,6.799999999999997,0.20730996131896973,12.6,60,46,14
19,0.44441920990109895,0.36826789343664,0.4124104415973871,0.9467307031154633,1.0921268165111542,6.499999999999997,0.22006702423095703,23.599999999999998,89,73,16
20,0.08673833867598514,0.2013579207903308,0.0,1.5,1.0468911044299603,6.799999999999997,0.232529878616333,116.5,68,56,12
21,0.17593962545252786,0.1001674211615598,0.1882215053047708,1.753700852394104,1.5744288489222527,7.099999999999997,0.19870805740356445,15.7,75,61,14
22,0.892133836046584,0.5235987755982989,0.48344700156719905,1.0659914016723633,0.6059406101703644,7.099999999999997,0.1616191864013672,10.7,72,58,14
23,1.058406866484159,0,0.9075933340888036,1.604918360710144,1.220636248588562,6.499999999999997,0.2156970500946045,10.0,70,56,14
24,0,0,0,0,0,0,0,0,0,0,0
25,1.2847448850775784,0.20135792079033074,0.17593962545252786,1.0182028412818909,0.7516153156757355,6.799999999999997,0.20523595809936523,17.3,75,57,18
26,0,0,0,0,0,0,0,0,0,0,0
27,0.5543074962015513,0,0.4964227534048819,1.4076629877090454,0.8432197272777557,6.799999999999997,0.1483299732208252,14.9,71,53,18
28,0.6125375566103034,0,0.452778471823536,3.7131335735321045,0.5807718560099602,6.499999999999997,0.19428777694702148,16.4,69,58,11
29,0.5585993153435626,0.020001333573390494,0.6202494859828216,1.0627995431423187,1.0497985482215881,6.799999999999997,0.22019386291503906,14.7,86,68,18
30,0.38050637711236485,0.18098645124654772,0.3805063771123649,1.1478456258773804,0.9502539299428463,6.799999999999997,0.19253802299499512,18.6,77,57,20
31,1.1324597669369387,0.34691689752716165,1.3258176636680323,1.5270122289657593,1.0,19.700000000000024,0,36.3,145,82,64
32,0.8308214428190254,0.10016742116155983,1.5707963267948966,0.5121854832395911,1.0047725141048431,7.099999999999997,0.2010660171508789,14.2,60,46,14
33,1.7681918866447768,1.5707963267948966,1.5707963267948963,2.049268901348114,1.504917226266116,7.099999999999997,0.22307991981506348,15.399999999999999,89,74,15
34,0,0,0,0,0,0,0,0,0,0,0
35,0.1973955598498808,0.1606906529519106,0.18534794999569482,0.6303028911352158,1.4447028934955597,6.1999999999999975,0.1888580322265625,21.299999999999997,57,44,13
36,0.5880026035475676,0.04001067435398893,0.6510767214444799,1.2335381507873535,1.587562918663025,6.799999999999997,0.21491694450378418,11.6,72,54,18
37,1.1999050379822342,0.36826789343664,0.6316906343389693,1.4764600154012442,1.0,6.799999999999997,0.21217703819274902,11.4,56,39,17
38,1.1071487177940906,1.075862200454001,0.9944211062037129,0.5269970986992121,1.390105001628399,8.299999999999997,0.21761703491210938,16.1,80,55,25
39,0.3366748193867272,0.020001333573390494,0.4124104415973874,1.2599028646945953,0.8952912092208862,7.9999999999999964,0.20605087280273438,21.400000000000002,84,59,25
40,0.5823529461439833,0.1001674211615598,0.6711438354360089,1.658367246389389,0.8273869156837463,6.799999999999997,0.14519906044006348,14.9,65,50,15
41,0,0,0,0,0,0,0,0,0,0,0
42,0.7509290623979404,0.020001333573390494,0.3846047148222136,1.8464417457580566,1.2621454000473022,6.499999999999997,0.21446800231933594,14.0,71,53,18
43,0.218668945873942,0.22181447049679445,0.10379234045704286,0.5007105120457709,1.028529703617096,7.099999999999997,0.20962285995483398,224.5,65,43,22
44,0.8760580505981934,0.2013579207903308,0.410127340541491,1.0743598937988281,1.9382416009902954,7.399999999999997,0.20647287368774414,19.4,60,39,21
45,0,0,0,0,0,0,0,0,0,0,0
46,0.10379234045704286,0.10016742116155981,0.10379234045704286,1.0,1.4479729235172272,7.099999999999997,0.20222115516662598,11.7,56,43,13
47,0.9928943898326511,0,2.062605502783595,1.7500376105308533,1.0,6.499999999999997,0.19113397598266602,13.3,75,59,16
48,0.17219081452293908,0.16069065295191062,0.14531001063570217,3.0288991928100586,1.0007317301351577,7.399999999999997,0.20604896545410156,11.7,73,54,19
49,1.058406866484159,0.6944982656265558,0.7700147616168531,0.6028555259108543,1.8186938166618347,6.799999999999997,0.21110796928405762,13.0,61,45,16
50,0.6327488350021832,0.2218144704967944,0.410127340541491,0.988292396068573,1.0426549315452576,7.699999999999997,0.21263599395751953,13.2,61,41,20
51,1.0475180046629213,0.08008558003365902,1.0475180046629213,1.2365097552537918,2.276196539402008,6.499999999999997,0.2107710838317871,11.5,78,59,19
52,0.28123220191829523,0.2837941092083278,0.04441521524691085,0.6787118315696716,1.1808154582977295,6.799999999999997,0.215285062789917,17.299999999999997,69,52,17
53,0,0,0,0,0,0,0,0,0,0,0
54,0.27829965900511133,0,0.17219081452293908,1.6500239372253418,1.5878088474273682,7.099999999999997,0.21616315841674805,11.0,51,35,16
55,0,0,0,0,0,0,0,0,0,0,0
56,0.23374318086890142,0.3046926540153975,0.19739555984988075,1.5,1.0136207342147827,7.099999999999997,0.22643089294433594,14.3,49,35,14
57,0.9197196053504169,0.16069065295191062,0.41822432957922906,1.0,1.7666096687316895,7.099999999999997,0.21959400177001953,16.1,68,50,18
58,0.6986598247214634,0,0.5807563535676705,1.4595627784729004,1.1328900456428528,6.499999999999997,0.20682287216186523,9.2,51,37,14
59,0.16514867741462683,0.060036058445278435,0.16514867741462683,0.9379965364933014,1.5882151126861572,6.799999999999997,0.21298909187316895,14.600000000000001,61,47,14
60,0.3639789565096441,0,0.18534794999569482,2.3238306045532227,0.6926322132349014,6.799999999999997,0.21694588661193848,10.7,55,40,15
61,0.21866894587394198,0.04001067435398893,0.0,2.4171630293130875,2.839033842086792,7.399999999999997,0.2103559970855713,10.7,59,43,16
62,0,0,0,0,0,0,0,0,0,0,0
63,0.08865588186743747,0.04001067435398893,0.09495170634275635,0.5130942370742559,1.0,6.499999999999997,0.19194793701171875,133.49999999999994,43,28,15
64,2.241317884775446,0.060036058445278435,0.6627295078929917,1.2901141047477722,1.8643784075975418,7.399999999999997,0.2261509895324707,14.3,61,44,17
65,0.09966865249116205,0.08008558003365902,0.08865588186743749,1.4155524745583534,0.6004028022289276,6.799999999999997,0.20804309844970703,17.1,49,35,14
66,0.6747409422235527,0.10016742116155977,0.28473043852271224,0.821867972612381,1.045679248869419,7.099999999999997,0.19766592979431152,12.600000000000001,63,45,18
67,0,0,0,0,0,0,0,0,0,0,0
